"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4","preCondition","Suite","Fri Mar 06 09:26:59 UTC 2026","broken","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","preCondition"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","preCondition","Suite","Fri Mar 06 09:14:44 UTC 2026","broken","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","preCondition"
"","0","testCalculatorOperations","Suite","Fri Mar 06 09:14:44 UTC 2026","skipped","Fri Mar 06 09:14:44 UTC 2026","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7","testCalculatorOperations","Suite","Fri Mar 06 09:26:59 UTC 2026","skipped","Fri Mar 06 09:26:59 UTC 2026","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
